Country,Male,Female
Afghanistan,4.2,4.2
Albania,13.3,7.9
Algeria,17.6,15.4
Andorra,18.3,13
Angola,2.5,4
Antigua and Barbuda,14.5,14.8
Argentina,25.6,17.8
Armenia,7.4,5.8
Australia,16.1,12.9
Austria,13,7.8
Azerbaijan,7.4,5.8
Bahamas,22.2,20.3
Bahrain,22,18.3
Bangladesh,4.4,3.2
Barbados,15.8,15.1
Belarus,13,6.4
Belgium,9.8,7.4
Belize,16,14.7
Benin,2.1,5.1
Bhutan,5.8,3.5
Bolivia (Plurinational State of),12.7,10.8
Bosnia and Herzegovina,9.6,6.3
Botswana,5,11.6
Brazil,17.6,12.4
Brunei Darussalam,22.9,12.5
Bulgaria,17.1,10.2
Burkina Faso,1.1,1.5
Burundi,1.7,3.4
Cabo Verde,3.3,5.5
Cambodia,7,1.9
Cameroon,2.2,5.3
Canada,16.8,11.5
Central African Republic,2.3,3.9
Chad,1.4,2.9
Chile,21.4,15.8
China,22.3,11.8
Colombia,9.8,7.4
Comoros,2.4,5.1
Congo,3,2
Cook Islands,36.9,35.1
Costa Rica,16.2,15
C̫te d'Ivoire,3.6,5.4
Croatia,18.3,11.6
Cuba,16.7,14
Cyprus,19.6,12
Czechia,15.7,8.8
Democratic People's Republic of Korea,15,7.3
Democratic Republic of the Congo,1.9,4.2
Denmark,11.9,6.6
Djibouti,6.2,7.7
Dominica,18.5,18.6
Dominican Republic,19.7,17.4
Ecuador,13.8,10.5
Egypt,20.5,23.2
El Salvador,14.2,15.3
Equatorial Guinea,2.3,3.9
Eritrea,1.8,4
Estonia,10.3,6.5
Eswatini,3.9,11.5
Ethiopia,1.2,2.3
Fiji,14.5,13.9
Finland,15.6,7.8
France,11.7,8.9
Gabon,5.2,6
Gambia,3,4.6
Georgia,10.9,6
Germany,13.7,9
Ghana,1.7,4.4
Greece,21.2,14.2
Grenada,13.8,13.4
Guatemala,12.9,12.2
Guinea,1.4,3.4
Guinea-Bissau,2.3,4.2
Guyana,12.8,12.7
Haiti,17.6,10.6
Honduras,12.2,12.3
Hungary,17.3,11.2
Iceland,15.7,9.4
India,3.7,2.6
Indonesia,9.8,7.1
Iran (Islamic Republic of),13.1,9.8
Iraq,18.1,17.1
Ireland,13.6,11.3
Israel,17.6,11.9
Italy,20.5,14.9
Jamaica,16.8,16.1
Japan,7,2.9
Jordan,15.4,14.4
Kazakhstan,10.2,6.2
Kenya,1.8,4.4
Kiribati,26.8,28.3
Kuwait,24.8,21.2
Kyrgyzstan,6.6,3.8
Lao People's Democratic Republic,8.6,4.4
Latvia,11.5,6.5
Lebanon,20.9,15.4
Lesotho,2.1,10.9
Liberia,1.9,3.6
Libya,19.3,16.4
Lithuania,11.7,6.5
Luxembourg,13.8,8.4
Madagascar,2.8,2.6
Malawi,1.6,3.8
Malaysia,19,12.4
Maldives,12.4,6.9
Mali,1.9,5
Malta,19.7,14.2
Marshall Islands,30.3,32.2
Mauritania,3.5,6.8
Mauritius,5.3,7.1
Mexico,19.9,15
Micronesia (Federated States of),23.8,26.7
Monaco,NA,NA
Mongolia,7.1,4.7
Montenegro,13,7.3
Morocco,13.5,12.7
Mozambique,2,4.3
Myanmar,7.3,3.4
Namibia,4.4,9
Nauru,36.1,36.5
Nepal,2.4,2.8
Netherlands,11.1,7.1
New Zealand,20.6,16.7
Nicaragua,13.2,14.2
Niger,1,2.8
Nigeria,2.5,2.7
Niue,34.7,31.9
Norway,12.7,9.3
Oman,20.2,16.1
Pakistan,4.9,3.4
Palau,35.8,35.2
Panama,12.7,14.2
Papua New Guinea,12,12.4
Paraguay,14.9,11.7
Peru,12.3,8.9
Philippines,8.2,3.9
Poland,16.8,8
Portugal,15,14.4
Qatar,26.2,19.2
Republic of Korea,17.4,7.1
Republic of Moldova,7,4.5
North Macedonia,15.7,8.8
Romania,13.5,8.2
Russian Federation,14.9,6.8
Rwanda,0.9,3.8
Saint Kitts and Nevis,16.2,14.7
Saint Lucia,11.3,11.7
Saint Vincent and the Grenadines,16.3,15.1
Samoa,23.8,26
San Marino,NA,NA
Sao Tome and Principe,4,5.2
Saudi Arabia,21.3,15.4
Senegal,1.5,3.6
Serbia,16.9,10.4
Seychelles,13.9,12.7
Sierra Leone,1.7,5.1
Singapore,12.8,6.1
Slovakia,13.6,7.7
Slovenia,14.6,10.3
Solomon Islands,4.2,5.2
Somalia,3,5.1
South Africa,10.7,12
South Sudan,,
Spain,17.5,12.1
Sri Lanka,7.1,5.7
Sudan,,
Sudan (former),3,4.9
Suriname,19.5,15.6
Sweden,10.3,6.1
Switzerland,8.2,6
Syrian Arab Republic,15.5,13.5
Tajikistan,4.8,3.5
Thailand,18.6,11.3
Timor-Leste,7.6,4.1
Togo,2,3.6
Tonga,27.5,32.9
Trinidad and Tobago,14.6,13.5
Tunisia,10.7,10.1
Turkey,16,13.8
Turkmenistan,7.8,5
Tuvalu,29.8,32.5
Uganda,0.8,3.9
Ukraine,11.6,6.3
United Arab Emirates,22.7,18.1
United Kingdom of Great Britain and Northern Ireland,12.7,10.2
United Republic of Tanzania,2.4,4.4
United States of America,25.1,20.3
Uruguay,20,14.4
Uzbekistan,6.7,4.4
Vanuatu,10.5,10.6
Venezuela (Bolivarian Republic of),18.5,16.2
Viet Nam,6.4,2.3
Yemen,9.5,10.9
Zambia,3,4.8
Zimbabwe,2.2,8.5
